dim:,35
suite:,1
k:,10
a:,1
layouts:,10
positions:,10
iterations:,10

layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot1,47,53,14046,47
0,bot2,82,18,21048,82
1,bot1,34,66,16012,34
1,bot2,90,10,21302,90
2,bot1,36,64,20140,36
2,bot2,89,11,28971,89
3,bot1,29,71,7319,29
3,bot2,81,19,23232,81
4,bot1,61,39,23421,61
4,bot2,83,17,23813,83
5,bot1,49,51,15593,49
5,bot2,84,16,20957,84
6,bot1,19,81,7688,19
6,bot2,86,14,28487,86
7,bot1,32,68,25215,32
7,bot2,79,21,24651,79
8,bot1,19,81,17322,19
8,bot2,81,19,26526,81
9,bot1,20,80,20270,20
9,bot2,86,14,32763,86
